Index,台灣大哥大,台灣大哥大總張數,遠傳,遠傳總張數,目前收益
2021-01-15,多1張,多1張,空1.6166394717233192張,空1.6166394717233192張,0.0
2021-01-18,多1張,多2張,空1.610114169822417張,空3.226753641545736張,0.0
2021-01-19,多1張,多3張,空1.6098360163934426張,空4.836589657939179張,0.0
2021-01-20,多1張,多4張,空1.6135987498109245張,空6.450188407750103張,0.0
2021-01-21,多1張,多5張,空1.6092714202228007張,空8.059459827972903張,0.0
2021-01-22,多1張,多6張,空1.6009932748015472張,空9.66045310277445張,0.0
2021-01-25,多1張,多7張,空1.6085527073775117張,空11.269005810151963張,0.0
2021-01-26,多1張,多8張,空1.607260812120819張,空12.876266622272782張,0.0
2021-01-27,多1張,多9張,空1.601990043150747張,空14.47825666542353張,0.0
2021-01-28,多1張,多10張,空1.6146178635445536張,空16.092874528968082張,0.0
2021-01-29,多1張,多11張,空1.6033332833333334張,空17.696207812301417張,0.0
2021-02-01,多1張,多12張,空1.6083333333333334張,空19.30454114563475張,0.0
2021-02-02,多1張,多13張,空1.6106490219849925張,空20.915190167619745張,0.0
2021-02-03,多1張,多14張,空1.6076794621809862張,空22.52286962980073張,0.0
2021-02-04,多1張,多15張,空1.6050000500000001張,空24.12786967980073張,0.0
2021-02-18,多1張,多16張,空1.6013289102769284張,空25.72919859007766張,0.0
2021-02-19,多1張,多17張,空1.6033332833333334張,空27.332531873410996張,0.0
2021-02-22,多1張,多18張,空1.6033332833333334張,空28.93586515674433張,0.0
2021-02-23,0,平倉18張,0,平倉28.93586515674433張,17064.925394421203
2021-02-24,0,平倉0張,0,平倉0張,17064.925394421203
2021-02-25,0,平倉0張,0,平倉0張,17064.925394421203
2021-02-26,0,平倉0張,0,平倉0張,17064.925394421203
2021-03-02,0,平倉0張,0,平倉0張,17064.925394421203
2021-03-04,多1張,多1張,空1.5806451612903225張,空1.5806451612903225張,17064.925394421203
2021-03-05,多1張,多2張,空1.562300417325892張,空3.1429455786162146張,17064.925394421203
2021-03-08,多1張,多3張,空1.571658633547782張,空4.714604212163996張,17064.925394421203
2021-03-09,多1張,多4張,空1.5675674859279018張,空6.282171698091898張,17064.925394421203
2021-03-10,多1張,多5張,空1.5671405776799459張,空7.849312275771844張,17064.925394421203
2021-03-11,多1張,多6張,空1.5657687184078835張,空9.415080994179727張,17064.925394421203
2021-03-12,多1張,多7張,空1.5723370247269626張,空10.98741801890669張,17064.925394421203
2021-03-15,多1張,多8張,空1.5670926698751653張,空12.554510688781855張,17064.925394421203
2021-03-16,多1張,多9張,空1.5682540158730158張,空14.122764704654871張,17064.925394421203
2021-03-17,多1張,多10張,空1.566666619047619張,空15.68943132370249張,17064.925394421203
2021-03-18,多1張,多11張,空1.5576619203422104張,空17.2470932440447張,17064.925394421203
2021-03-19,多1張,多12張,空1.5353218440294845張,空18.782415088074185張,17064.925394421203
2021-03-22,多1張,多13張,空1.5548489648696673張,空20.33726405294385張,17064.925394421203
2021-03-23,多1張,多14張,空1.5550238986439568張,空21.892287951587807張,17064.925394421203
2021-03-24,多1張,多15張,空1.5451664515108225張,空23.43745440309863張,17064.925394421203
2021-03-25,多1張,多16張,空1.5427214945771914張,空24.98017589767582張,17064.925394421203
2021-03-26,多1張,多17張,空1.561014312551959張,空26.54119021022778張,17064.925394421203
2021-03-29,多1張,多18張,空1.5583596196101066張,空28.099549829837883張,17064.925394421203
2021-03-30,多1張,多19張,空1.550156795457003張,空29.649706625294886張,17064.925394421203
2021-03-31,多1張,多20張,空1.5319812802490258張,空31.18168790554391張,17064.925394421203
2021-04-01,多1張,多21張,空1.5319812802490258張,空32.71366918579294張,17064.925394421203
2021-04-07,多1張,多22張,空1.5114503816793894張,空34.225119567472326張,17064.925394421203
2021-04-08,多1張,多23張,空1.5169752847079343張,空35.74209485218026張,17064.925394421203
2021-04-09,多1張,多24張,空1.5061349926135734張,空37.24822984479383張,17064.925394421203
2021-04-12,多1張,多25張,空1.5007656278361885張,空38.74899547263002張,17064.925394421203
2021-04-13,多1張,多26張,空1.506116161892472張,空40.25511163452249張,17064.925394421203
2021-04-14,多1張,多27張,空1.5114853363789278張,空41.76659697090142張,17064.925394421203
2021-04-15,多1張,多28張,空1.5076220276714034張,空43.27421899857282張,17064.925394421203
2021-04-16,多1張,多29張,空1.507598669866322張,空44.78181766843914張,17064.925394421203
2021-04-19,多1張,多30張,空1.514415781049597張,空46.29623344948874張,17064.925394421203
2021-04-20,多1張,多31張,空1.5240240697905125張,空47.82025751927925張,17064.925394421203
2021-04-21,多1張,多32張,空1.5067466944563732張,空49.32700421373563張,17064.925394421203
2021-04-22,多1張,多33張,空1.5165165620575545張,空50.84352077579318張,17064.925394421203
2021-04-23,多1張,多34張,空1.5165165620575545張,空52.360037337850734張,17064.925394421203
2021-04-26,多1張,多35張,空1.5210842915336056張,空53.88112162938434張,17064.925394421203
2021-04-27,多1張,多36張,空1.5349543373121122張,空55.416075966696454張,17064.925394421203
2021-04-28,多1張,多37張,空1.5437788492712397張,空56.959854815967695張,17064.925394421203
2021-04-29,多1張,多38張,空1.5360983574838205張,空58.49595317345152張,17064.925394421203
2021-05-03,多1張,多39張,空1.5496894394506386張,空60.04564261290216張,17064.925394421203
2021-05-04,多1張,多40張,空1.5508606400356606張,空61.596503252937815張,17064.925394421203
2021-05-05,多1張,多41張,空1.539657781975531張,空63.13616103491334張,17064.925394421203
2021-05-06,多1張,多42張,空1.5384615384615385張,空64.67462257337488張,17064.925394421203
2021-05-07,多1張,多43張,空1.5320122418296416張,空66.20663481520452張,17064.925394421203
2021-05-10,多1張,多44張,空1.5227272727272727張,空67.72936208793179張,17064.925394421203
2021-05-11,多1張,多45張,空1.5250378899836756張,空69.25439997791547張,17064.925394421203
2021-05-12,多1張,多46張,空1.53750003125張,空70.79190000916547張,17064.925394421203
2021-05-13,多1張,多47張,空1.5371248742041845張,空72.32902488336966張,17064.925394421203
2021-05-14,多1張,多48張,空1.5362094595929288張,空73.86523434296258張,17064.925394421203
2021-05-17,多1張,多49張,空1.551401910501647張,空75.41663625346423張,17064.925394421203
2021-05-18,0,平倉49張,0,平倉75.41663625346423張,85900.20102668386
2021-05-19,0,平倉0張,0,平倉0張,85900.20102668386
2021-05-20,0,平倉0張,0,平倉0張,85900.20102668386
2021-05-21,空1張,空1張,多1.5634675406646297張,多1.5634675406646297張,85900.20102668386
2021-05-24,空1張,空2張,多1.5576324715404584張,多3.121100012205088張,85900.20102668386
2021-05-25,空1張,空3張,多1.550387596899225張,多4.671487609104313張,85900.20102668386
2021-05-26,空1張,空4張,多1.5505442044847182張,多6.222031813589031張,85900.20102668386
2021-05-27,0,平倉4張,0,平倉6.222031813589031張,92848.15605995522
2021-05-28,0,平倉0張,0,平倉0張,92848.15605995522
2021-05-31,0,平倉0張,0,平倉0張,92848.15605995522
2021-06-01,0,平倉0張,0,平倉0張,92848.15605995522
2021-06-02,0,平倉0張,0,平倉0張,92848.15605995522
2021-06-03,空1張,空1張,多1.5390504652809893張,多1.5390504652809893張,92848.15605995522
2021-06-07,0,平倉1張,0,平倉1.5390504652809893張,92522.068071179
2021-06-08,0,平倉0張,0,平倉0張,92522.068071179
2021-06-09,0,平倉0張,0,平倉0張,92522.068071179
2021-06-10,空1張,空1張,多1.577743950540974張,多1.577743950540974張,92522.068071179
2021-06-11,空1張,空2張,多1.577743950540974張,多3.155487901081948張,92522.068071179
2021-06-15,空1張,空3張,多1.5648854961832062張,多4.7203733972651545張,92522.068071179
2021-06-16,空1張,空4張,多1.5553869027196692張,多6.275760299984824張,92522.068071179
2021-06-17,空1張,空5張,多1.5672782395327756張,多7.843038539517599張,92522.068071179
2021-06-18,空1張,空6張,多1.56105107701937張,多9.40408961653697張,92522.068071179
2021-06-21,空1張,空7張,多1.5712074789847517張,多10.975297095521722張,92522.068071179
2021-06-22,空1張,空8張,多1.5615384615384615張,多12.536835557060183張,92522.068071179
2021-06-23,空1張,空9張,多1.5644172498964992張,多14.101252806956682張,92522.068071179
2021-06-24,空1張,空10張,多1.5596329798277375張,多15.66088578678442張,92522.068071179
2021-06-25,空1張,空11張,多1.5672782395327756張,多17.228164026317195張,92522.068071179
2021-06-28,空1張,空12張,多1.5668203246334969張,多18.794984350950692張,92522.068071179
2021-06-29,空1張,空13張,多1.5769230769230769張,多20.37190742787377張,92522.068071179
2021-06-30,空1張,空14張,多1.5789474173048736張,多21.950854845178643張,92522.068071179
2021-07-01,空1張,空15張,多1.5789474173048736張,多23.529802262483518張,92522.068071179
2021-07-02,空1張,空16張,多1.5765070282769875張,多25.106309290760507張,92522.068071179
2021-07-05,空1張,空17張,多1.5696783352368298張,多26.675987625997337張,92522.068071179
2021-07-06,空1張,空18張,多1.5692307692307692張,多28.245218395228108張,92522.068071179
2021-07-07,空1張,空19張,多1.5769230769230769張,多29.822141472151184張,92522.068071179
2021-07-08,空1張,空20張,多1.574500816420916張,多31.3966422885721張,92522.068071179
2021-07-09,空1張,空21張,多1.5749234992378134張,多32.971565787809915張,92522.068071179
2021-07-12,空1張,空22張,多1.5668203246334969張,多34.53838611244341張,92522.068071179
2021-07-13,空1張,空23張,多1.57733530272579張,多36.115721415169205張,92522.068071179
2021-07-14,空1張,空24張,多1.574500816420916張,多37.69022223159012張,92522.068071179
2021-07-15,空1張,空25張,多1.5720859619057959張,多39.26230819349592張,92522.068071179
2021-07-16,空1張,空26張,多1.5596329798277375張,多40.82194117332366張,92522.068071179
2021-07-19,空1張,空27張,多1.5672782395327756張,多42.389219412856434張,92522.068071179
2021-07-20,空1張,空28張,多1.5620213677478696張,多43.9512407806043張,92522.068071179
2021-07-21,空1張,空29張,多1.5672782395327756張,多45.51851902013708張,92522.068071179
2021-07-23,0,平倉29張,0,平倉45.51851902013708張,-127830.66679527493
2021-07-27,空1張,空1張,多1.71334428808329張,多1.71334428808329張,-127830.66679527493
2021-07-28,空1張,空2張,多1.71900826446281張,多3.4323525525461003張,-127830.66679527493
2021-07-29,空1張,空3張,多1.724422499155858張,多5.156775051701958張,-127830.66679527493
2021-07-30,空1張,空4張,多1.7161716738010453張,多6.872946725503003張,-127830.66679527493
2021-08-02,空1張,空5張,多1.7073170731707317張,多8.580263798673736張,-127830.66679527493
2021-08-03,空1張,空6張,多1.7263843085868302張,多10.306648107260566張,-127830.66679527493
2021-08-04,空1張,空7張,多1.7483659845038237張,多12.05501409176439張,-127830.66679527493
2021-08-05,空1張,空8張,多1.7699837156604195張,多13.82499780742481張,-127830.66679527493
2021-08-06,空1張,空9張,多1.7733989565386221張,多15.598396763963432張,-127830.66679527493
2021-08-09,空1張,空10張,多1.756978595829931張,多17.355375359793364張,-127830.66679527493
2021-08-10,空1張,空11張,多1.7483659845038237張,多19.103741344297188張,-127830.66679527493
2021-08-11,空1張,空12張,多1.7398373983739837張,多20.84357874267117張,-127830.66679527493
2021-08-12,空1張,空13張,多1.7426709530074609張,多22.58624969567863張,-127830.66679527493
2021-08-13,空1張,空14張,多1.7263843085868302張,多24.312634004265462張,-127830.66679527493
2021-08-16,空1張,空15張,多1.7184943279376212張,多26.03112833220308張,-127830.66679527493
2021-08-17,空1張,空16張,多1.7184943279376212張,多27.7496226601407張,-127830.66679527493
2021-08-18,空1張,空17張,多1.715686246475715張,多29.465308906616418張,-127830.66679527493
2021-08-19,空1張,空18張,多1.696869823774797張,多31.162178730391215張,-127830.66679527493
2021-08-20,空1張,空19張,多1.680463520514453張,多32.84264225090567張,-127830.66679527493
2021-08-23,空1張,空20張,多1.6043046157515028張,多34.44694686665717張,-127830.66679527493
